contractSymbol,strike,lastPrice,bid,ask,impliedVolatility,expiry,option_type,market_price,spot_price,sigma,ticker,bs_price,mispricing,mispricing_pct
AAPL260805C00370000,370.0,0.37,0.07,1.02,0.4389704541015625,2026-08-05,call,0.545,333.0199890136719,0.2480367173288849,AAPL,0.02589509873163176,-0.5191049012683683,-95.24860573731527
AAPL260805C00375000,375.0,0.19,0.01,0.3,0.37305314453125,2026-08-05,call,0.155,333.0199890136719,0.2480367173288849,AAPL,0.00895229005554754,-0.14604770994445246,-94.22432899642094
AAPL260805C00380000,380.0,0.11,0.01,0.28,0.4018614501953125,2026-08-05,call,0.145,333.0199890136719,0.2480367173288849,AAPL,0.002864253806924122,-0.14213574619307587,-98.02465254694887
AAPL260807C00155000,155.0,154.0,176.35,180.2,1.74609501953125,2026-08-07,call,178.27499999999998,333.0199890136719,0.2480367173288849,AAPL,178.24913453546276,-0.02586546453721894,-0.014508744656973185
AAPL260807C00170000,170.0,142.28,161.4,165.3,1.60547072265625,2026-08-07,call,163.35000000000002,333.0199890136719,0.2480367173288849,AAPL,163.2713099085393,-0.07869009146071448,-0.04817269143600519
AAPL260807C00190000,190.0,133.52,141.7,145.2,1.4150419873046878,2026-08-07,call,143.45,333.0199890136719,0.2480367173288849,AAPL,143.30087707264136,-0.14912292735863275,-0.10395463740580882
AAPL260807C00195000,195.0,138.47,136.45,140.25,1.3046909765624997,2026-08-07,call,138.35,333.0199890136719,0.2480367173288849,AAPL,138.30826886366688,-0.04173113633311232,-0.030163452354978186
AAPL260807C00200000,200.0,108.96,131.7,135.05,1.2626989990234374,2026-08-07,call,133.375,333.0199890136719,0.2480367173288849,AAPL,133.31566065469238,-0.059339345307620306,-0.044490605666444465
AAPL260807C00210000,210.0,105.15,121.75,125.3,1.2177773486328125,2026-08-07,call,123.525,333.0199890136719,0.2480367173288849,AAPL,123.3304442367434,-0.19455576325660218,-0.1575031477487166
AAPL260807C00215000,215.0,106.46,116.75,120.35,1.171879140625,2026-08-07,call,118.55,333.0199890136719,0.2480367173288849,AAPL,118.33783602776893,-0.21216397223106753,-0.17896581377567908
AAPL260807C00220000,220.0,113.22,111.75,115.3,1.109379453125,2026-08-07,call,113.525,333.0199890136719,0.2480367173288849,AAPL,113.34522781879443,-0.17977218120557836,-0.15835470707384133
AAPL260807C00225000,225.0,107.95,106.55,110.35,1.0297900073242188,2026-08-07,call,108.45,333.0199890136719,0.2480367173288849,AAPL,108.35261960981995,-0.0973803901800494,-0.08979289089907735
AAPL260807C00230000,230.0,91.78,101.8,105.15,0.9877930908203124,2026-08-07,call,103.475,333.0199890136719,0.2480367173288849,AAPL,103.36001140084542,-0.1149885991545716,-0.1111269380570878
AAPL260807C00235000,235.0,81.47,96.8,99.75,0.85937640625,2026-08-07,call,98.275,333.0199890136719,0.2480367173288849,AAPL,98.367403191871,0.09240319187099999,0.0940251252821165
AAPL260807C00240000,240.0,81.2,91.8,94.75,0.813478427734375,2026-08-07,call,93.275,333.0199890136719,0.2480367173288849,AAPL,93.37479498289667,0.09979498289666822,0.10699006475118544
AAPL260807C00245000,245.0,76.25,86.6,90.2,0.8159198095703124,2026-08-07,call,88.4,333.0199890136719,0.2480367173288849,AAPL,88.38218677392834,-0.017813226071666577,-0.02015070822586717
AAPL260807C00250000,250.0,71.32,81.85,84.75,0.7334011035156249,2026-08-07,call,83.3,333.0199890136719,0.2480367173288849,AAPL,83.38957856508958,0.08957856508958173,0.10753729302470796
AAPL260807C00255000,255.0,70.53,76.85,80.0,0.7309597216796875,2026-08-07,call,78.425,333.0199890136719,0.2480367173288849,AAPL,78.39697035847198,-0.028029641528021898,-0.035740696879849404
