Date,UNH,JNJ,ABBV,LLY,PFE
2014-02-12 05:00:00,57.15446090698242,65.48416137695312,30.807292938232422,42.580955505371094,17.465364456176758
2014-02-13 05:00:00,57.94374084472656,65.58334350585938,30.679325103759766,42.70871353149414,17.51509666442871
2014-02-14 05:00:00,59.823402404785156,65.72505950927734,30.910865783691406,43.283714294433594,17.647695541381836
2014-02-18 05:00:00,60.07563781738281,65.30702209472656,31.355682373046875,44.12223815917969,17.614553451538086
2014-02-19 05:00:00,59.84779357910156,64.93148803710938,31.191160202026367,46.3902473449707,17.393537521362305
2014-02-20 05:00:00,59.790863037109375,65.455810546875,31.59941291809082,46.3582878112793,17.432214736938477
2014-02-21 05:00:00,60.05939483642578,65.3130874633789,31.099756240844727,46.286434173583984,17.382484436035156
2014-02-24 05:00:00,61.84954071044922,65.02050018310547,30.983989715576172,46.34233856201172,17.675329208374023
2014-02-25 05:00:00,61.2880744934082,65.02050018310547,30.904783248901367,46.701698303222656,17.620073318481445
2014-02-26 05:00:00,61.890220642089844,65.02050018310547,30.916961669921875,46.84543991088867,17.675329208374023
2014-02-27 05:00:00,61.857635498046875,65.19892120361328,31.02054786682129,47.54819869995117,17.807937622070312
2014-02-28 05:00:00,62.8747673034668,65.74127960205078,31.02054786682129,47.60411071777344,17.741634368896484
2014-03-03 05:00:00,62.736446380615234,65.34161376953125,30.52090835571289,47.14091873168945,17.669803619384766
2014-03-04 05:00:00,63.57456970214844,66.61190795898438,31.43489646911621,47.79575729370117,18.062097549438477
2014-03-05 05:00:00,63.460662841796875,66.07669830322266,31.50191307067871,47.46035385131836,18.095243453979492
2014-03-06 05:00:00,63.17584228515625,66.2907943725586,31.709089279174805,46.89336013793945,17.935014724731445
2014-03-07 05:00:00,62.98053741455078,66.59764862060547,31.355682373046875,46.789527893066406,17.918437957763672
2014-03-10 04:00:00,63.37113952636719,66.69043731689453,31.4775390625,47.037109375,17.896337509155273
2014-03-11 04:00:00,63.289772033691406,66.71896362304688,31.53237533569336,46.661773681640625,17.91291618347168
2014-03-12 04:00:00,63.3714485168457,66.79747772216797,31.465349197387695,47.27668380737305,17.669803619384766
2014-03-13 04:00:00,62.88960647583008,66.36930084228516,31.270376205444336,46.58988571166992,17.194625854492188
2014-03-14 04:00:00,61.81980514526367,66.23370361328125,31.203346252441406,47.01314926147461,17.255407333374023
2014-03-17 04:00:00,62.68547058105469,67.03297424316406,31.672513961791992,47.01314926147461,17.360387802124023
2014-03-18 04:00:00,63.698089599609375,67.04011535644531,32.35496520996094,47.4364013671875,17.642179489135742
